indicator,type,confidence,verdict,contract,context
91.215.85.42,ipv4,HIGH,live-c2,#1,"EtherRAT C2 panel :3000 (X-Bot-Server header) + Tsundere WS :3001; PostgreSQL :5432 + Redis :6379 backends; PROSPERO AS200593 RU bulletproof; confirmed on-chain + Shodan + PCAP; last seen 2026-06-14"
api-gateway-prod.com,domain,HIGH,validated-c2,#4,"Decoded from contract #4; resolves 193.200.17.66 (BlueVPS AS62005); cert-bounded campaign window 2025-11-29 to 2026-02-27"
193.200.17.66,ipv4,MODERATE,point-in-time,#4,"Resolution for api-gateway-prod.com as of Feb 2026; BlueVPS AS62005 Warsaw PL; MikroTik tenant - likely recycled; treat as point-in-time not durable"
720db1bac2a7a9b682ca84e7a6b897d994bd05d9eb0956c73059d8639d4b17a5,tls-cert-sha256,HIGH,durable-pivot,#4,"Only TLS cert ever issued for api-gateway-prod.com; Let's Encrypt E8 DV; durable pivot for sibling-host hunting"
rubysen.com,domain,MODERATE,novel-c2,#1,"Decoded from contract #1 calldata; novel; passive validation pending"
ager-stp.org,domain,MODERATE,novel-c2,#1,"Decoded from contract #1 calldata; novel; passive validation pending"
twicegrand.com,domain,MODERATE,novel-c2,#1,"Decoded from contract #1 calldata; novel; passive validation pending"
aabstone.com,domain,MODERATE,novel-c2,#1,"Decoded from contract #1 calldata; novel; passive validation pending"
173.249.8.102,ipv4,LOW,excluded-decoy,#1,"Decoded from contract #1 but host runs unrelated Moroccan email-marketing/phishing kit (operator ouzougat); Contabo AS51167 DE; decoy or recycled co-tenant - NOT confirmed actor C2"
grabify.link/SEFKGU,url,INFO,recon-not-c2,#1,"Public IP-logger link used for victim reconnaissance; NOT command-and-control infrastructure"
aurineuroth.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
jariosos.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
hayesmed.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
regancontrols.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
salinasrent.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
justtalken.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
mebeliotmasiv.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
euclidrent.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
o-parana.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
palshona.com,domain,PUBLISHED,c2,#2,"Published EtherRAT C2 (eSentire); decode-confirmed from contract #2"
X-Bot-Server,http-response-header,HIGH,detection-anchor,n/a,"EtherRAT C2 server fingerprint; appears in Access-Control-Allow-Headers of :3000 panel responses; durable across IP rotation"
W/"9-0gXL1ngzMqISxa6S1zx3F4wtLyg",http-etag,MODERATE,detection-anchor,n/a,"Static-asset ETag on EtherRAT :3000 panel; observed on 91.215.85.42 via both Shodan and PCAP; pivot for sibling panels"
